,title
56,講到隨身私密小物，天后害羞的反應會不會太可愛啦XD不過就算沒有演出，還是每天都會練唱2小時難怪有這麼棒的嗓音已經太期待12月來台灣演出！（珊迪）【莎拉布萊曼曝光「隨身私密小物」　親吐退休計畫：想登太空！】…… 顯示更多
57,新婚的幸福人夫 #泰勒洛納 又釋出一系列婚禮的彩排以及歡迎酒會的花絮照真的會被這一對小倆口給閃瞎內～～～～～再一次祝福我們《暮光之城》的狼人雅各死會啦！！！！（羊羹）…… 顯示更多
58,我嗑的螢幕CP成真啦！那句告白太感人了嗚嗚我們小嵐一定要幸福（珊迪）看更多影壇新消息  都在星光雲App：https://goo.gl/DxAfcG
59,Sundown在另一個世界，一定也要開心地飛翔啊一路好走...（珊迪） 更多歐美星消息都在星光雲App：https://goo.gl/DxAfcG…… 顯示更多
60,#安卓亞霍娜 Adria Arjona演出電影《魔比斯》受到矚目！！！近日登上時尚雜誌異國風的臉蛋在黑白色調下更顯得有魅力呀！！！！（羊羹）…… 顯示更多
61,有女神，就給讚！！！（羊羹） 更多電影明星消息都在星光雲App：https://goo.gl/DxAfcG
62,這就是把溫暖繼續傳遞下去的概念啊！！！！（羊羹）
63,感覺又是一部必須帶著衛生紙觀看的電影啊！（羊羹）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】
64,不只韓星～～～許多歐美歌手也報復性來台！！大家追星追起來囉！（羊羹） 更多歐美明星消息都在星光雲App：https://goo.gl/DxAfcG
65,魔獸真的親民到一個不行耶！！紅毯簽名、拍手、抱抱都可以～～～只是手指愛心被升級～～～感覺有在致敬小籠包？！？！？（羊羹）【魔獸IG關注「台灣高顏值女星」！同台活動後悄追蹤　演藝圈人脈曝光】…… 顯示更多
66,巨石強森已經準備好拍攝《黑亞當2》了！！！（羊羹）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】
67,是《屍速列車》的那個大壞蛋！！大家還記得嗎～～～～～（羊羹）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】
68,有拜有保庇！！！恭喜《花路阿朱媽》！！！（羊羹）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】
69,我如果是Bruno Mars 的話真的會哭！ XDD近日到巴林開唱的Bruno Mars 收到一張珍貴的海報上面是印著：「愛你Bruno」的告白海報但仔細一看...這人不是巨石強森嗎？？？粉絲哩馬幫幫忙～P圖P的太棒了吧！（阿迪仔）…… 顯示更多
70,《#星際異攻隊 聖誕特別篇》11月25正式開播了(♡´౪`♡)光看封面就覺得有種ㄎㄧㄤ感！大家看了沒？只想問身為聖誕節喜劇片日期是不是搞錯了（誤你各位外星人的聖誕節比大家早了一個月啊～威（阿迪仔）…… 顯示更多
71,帶大家揭開好萊塢電影的崛起！相信小人物也能登上天！#瑪格羅比+#布萊德彼特 這卡司超級期待！可以一鍵快轉到2023年嗎（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】…… 顯示更多
72,最後的攻擊機會沒了很可惜沒錯...但因為這樣就人身攻擊好像過頭啦（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】#…… 顯示更多
